Edad,Genero,Altura,Peso
30,Hombre,175,92
30,Mujer,159,59
30,Mujer,175,59
30,Mujer,160,59
39,Mujer,164,105
39,Hombre,168,109
39,Mujer,156,45
39,Mujer,156,70
39,Hombre,165,85
39,Mujer,164,77
39,Mujer,167,53
39,Hombre,170,67
39,Hombre,159,60
39,Hombre,166,100
39,Hombre,182,75
39,Mujer,166,80
39,Hombre,172,74
39,Mujer,157,71
39,Hombre,172,79
39,Hombre,171,141
39,Hombre,175,70
39,Mujer,162,72
39,Mujer,168,96
39,Mujer,172,72
39,Mujer,153,57
39,Hombre,171,87
39,Mujer,164,62
39,Hombre,172,80
39,Mujer,180,80
39,Mujer,165,65
39,Hombre,165,65
39,Hombre,172,88
39,Mujer,166,44
39,Mujer,170,82
39,Hombre,177,91
39,Mujer,160,52
39,Hombre,165,77
39,Mujer,156,56
39,Mujer,156,62
39,Hombre,175,87
39,Hombre,171,88
39,Mujer,165,110
39,Mujer,169,64
39,Mujer,159,80
39,Hombre,166,64
39,Mujer,157,72
39,Mujer,157,83
39,Mujer,167,112
39,Mujer,156,82
39,Hombre,158,60
39,Hombre,172,83
39,Hombre,173,75
39,Hombre,173,81
39,Mujer,162,50
39,Mujer,168,59
39,Mujer,178,85
39,Mujer,152,75
39,Mujer,157,84
39,Mujer,158,72
39,Hombre,167,73
39,Hombre,174,80
39,Mujer,158,71
39,Hombre,167,51
39,Hombre,170,60
39,Hombre,178,72
39,Mujer,158,78
39,Mujer,162,70
39,Mujer,164,45
39,Hombre,175,98
39,Hombre,178,78
39,Mujer,160,96
39,Mujer,164,69
39,Mujer,150,67
39,Hombre,180,75
39,Hombre,183,59
39,Mujer,168,50
39,Hombre,150,73
39,Hombre,170,67
39,Mujer,163,72
39,Hombre,170,68
39,Mujer,157,66
39,Mujer,161,83
39,Mujer,163,73
39,Hombre,160,110
39,Mujer,165,133
39,Hombre,172,81
39,Hombre,174,72
39,Hombre,175,102
39,Mujer,162,61
39,Mujer,162,79
39,Mujer,163,70
39,Mujer,164,68
39,Mujer,163,65
39,Mujer,165,61
39,Mujer,161,76
39,Mujer,164,97
39,Mujer,156,62
39,Mujer,158,65
39,Mujer,160,62
39,Mujer,166,59
39,Hombre,172,64
39,Hombre,170,68
39,Hombre,180,85
39,Hombre,161,80
39,Hombre,161,64
39,Hombre,173,80
39,Mujer,160,60
39,Mujer,168,69
39,Hombre,185,84
39,Mujer,155,53
39,Hombre,169,89
39,Hombre,170,67
39,Hombre,176,105
39,Mujer,159,80
39,Mujer,163,82
39,Mujer,173,78
39,Hombre,160,65
39,Hombre,172,76
39,Mujer,164,85
39,Mujer,166,70
39,Mujer,169,79
39,Hombre,170,67
39,Mujer,167,69
39,Hombre,165,59
39,Hombre,170,79
39,Hombre,170,81
39,Hombre,182,62
39,Mujer,156,62
39,Hombre,169,63
39,Hombre,168,68
39,Mujer,164,60
39,Hombre,170,86
39,Mujer,162,76
39,Hombre,167,73
39,Mujer,158,70
39,Mujer,162,72
39,Mujer,166,55
39,Mujer,150,85
39,Mujer,160,122
39,Mujer,158,80
39,Mujer,165,74
39,Mujer,175,70
39,Hombre,164,90
39,Mujer,160,50
39,Mujer,160,68
39,Mujer,160,90
39,Hombre,171,81
39,Hombre,170,95
39,Hombre,170,68
39,Hombre,178,74
39,Hombre,181,101
39,Mujer,159,54
39,Mujer,161,78
39,Mujer,170,79
39,Hombre,165,65
39,Hombre,169,68
39,Hombre,169,82
39,Hombre,172,61
39,Mujer,152,99
39,Mujer,165,106
39,Hombre,180,80
39,Mujer,159,72
39,Mujer,166,107
39,Mujer,156,52
39,Mujer,158,59
39,Mujer,159,67
39,Mujer,165,82
39,Hombre,170,59
39,Mujer,158,66
39,Hombre,168,64
39,Mujer,161,78
39,Mujer,163,58
39,Mujer,169,70
39,Mujer,170,72
39,Hombre,172,72
39,Mujer,159,78
39,Mujer,169,68
39,Mujer,170,67
39,Hombre,168,64
39,Hombre,170,69
39,Mujer,152,67
39,Mujer,158,65
39,Mujer,163,66
39,Hombre,166,53
39,Hombre,168,89
39,Hombre,181,76
39,Mujer,148,65
39,Mujer,157,58
39,Mujer,160,57
39,Mujer,164,57
39,Hombre,165,60
39,Hombre,171,69
39,Mujer,155,80
39,Mujer,157,57
39,Mujer,165,86
39,Hombre,170,76
39,Hombre,178,85
39,Mujer,151,50
39,Mujer,161,62
39,Mujer,162,78
39,Mujer,164,69
39,Mujer,168,61
39,Mujer,170,130
39,Hombre,165,57
39,Hombre,170,79
39,Hombre,176,109
39,Mujer,152,72
39,Hombre,166,58
39,Hombre,167,80
39,Hombre,175,58
39,Hombre,189,108
39,Hombre,165,72
39,Mujer,175,70
39,Hombre,163,66
39,Hombre,169,69
39,Hombre,176,100
39,Mujer,154,67
39,Mujer,168,68
39,Mujer,169,67
39,Mujer,173,86
39,Mujer,137,56
39,Mujer,163,65
39,Mujer,163,69
39,Hombre,170,61
39,Hombre,170,68
39,Mujer,150,65
39,Mujer,157,56
39,Mujer,165,65
39,Hombre,175,69
39,Hombre,177,140
39,Mujer,155,76
39,Mujer,156,49
39,Mujer,165,65
39,Hombre,169,113
39,Mujer,152,60
39,Mujer,162,67
39,Mujer,167,67
39,Hombre,178,76
39,Mujer,165,82
39,Mujer,162,64
39,Mujer,166,109
39,Hombre,176,82
39,Mujer,149,60
39,Mujer,157,62
39,Mujer,167,52
39,Hombre,177,78
39,Hombre,177,80
39,Mujer,155,61
39,Mujer,168,66
39,Mujer,172,72
39,Mujer,160,54
39,Mujer,167,102
39,Hombre,175,76
39,Mujer,162,69
39,Mujer,171,79
39,Hombre,173,73
39,Mujer,157,60
39,Mujer,158,54
39,Mujer,160,54
39,Mujer,160,72
39,Mujer,161,106
39,Mujer,163,72
39,Hombre,174,78
39,Hombre,175,70
39,Hombre,174,99
39,Hombre,174,104
39,Hombre,174,107
39,Hombre,175,59
39,Mujer,164,75
39,Hombre,168,83
39,Hombre,170,68
39,Hombre,176,94
39,Mujer,167,79
39,Mujer,169,64
39,Hombre,165,70
39,Mujer,157,61
39,Mujer,159,69
39,Mujer,165,74
39,Hombre,162,75
39,Hombre,165,66
39,Hombre,168,68
39,Mujer,151,62
39,Mujer,164,57
39,Mujer,175,68
39,Hombre,171,82
39,Hombre,178,73
39,Mujer,157,78
39,Hombre,169,63
39,Hombre,173,103
39,Mujer,159,57
39,Mujer,160,90
39,Mujer,162,52
39,Mujer,164,78
39,Mujer,168,72
39,Mujer,178,76
39,Mujer,167,102
39,Hombre,165,75
39,Mujer,156,69
39,Mujer,158,46
39,Mujer,163,45.8
39,Mujer,165,60
39,Mujer,170,83
39,Hombre,172,74
39,Hombre,179,101
39,Mujer,133,89
39,Mujer,158,80
39,Mujer,165,80
39,Hombre,165,62
39,Hombre,168,72
39,Mujer,153,91
39,Mujer,154,53
39,Mujer,160,64
39,Mujer,165,65
39,Hombre,165,65
39,Mujer,152,67
39,Mujer,160,64
39,Mujer,164,90
39,Hombre,172,65
39,Hombre,172,80
39,Hombre,177,82
39,Mujer,158,69
39,Mujer,163,62
39,Mujer,164,64
39,Mujer,168,103
39,Mujer,153,70
39,Mujer,165,72
39,Mujer,167,50.5
39,Mujer,169,66
39,Hombre,168,76
39,Mujer,158,65
39,Mujer,159,89
39,Mujer,161,54
39,Mujer,164,79
39,Mujer,168,65
39,Hombre,170,75
39,Hombre,172,58
39,Mujer,151,63
39,Mujer,163,79
39,Hombre,169,60
39,Mujer,159,56
39,Mujer,161,80
39,Hombre,175,82
39,Hombre,182,59
39,Hombre,187,87
39,Mujer,157,54
39,Mujer,160,57
39,Mujer,163,64
39,Mujer,163,94
39,Mujer,166,64
39,Hombre,160,70
39,Mujer,150,63
39,Mujer,156,58
39,Mujer,160,74
39,Mujer,169,72
39,Mujer,170,78
39,Hombre,158,64
39,Hombre,169,68
39,Hombre,176,93
39,Mujer,166,76
39,Hombre,170,63
39,Mujer,156,87
39,Mujer,160,80
39,Mujer,161,59
39,Hombre,167,104
39,Hombre,172,78
39,Mujer,161,54
39,Hombre,166,123
39,Hombre,173,59
39,Hombre,174,75
39,Mujer,162,85
39,Mujer,175,75
39,Mujer,175,80
39,Hombre,162,70
39,Hombre,165,72
39,Hombre,168,65
39,Hombre,170,75
39,Hombre,175,78
39,Hombre,182,130
39,Mujer,158,80
39,Mujer,163,53
39,Mujer,169,65
39,Mujer,170,90
39,Hombre,161,59
39,Hombre,170,98
39,Mujer,160,84
39,Hombre,167,74
39,Hombre,177,87
39,Hombre,179,67
39,Mujer,154,65
39,Mujer,156,61
39,Mujer,156,79
39,Mujer,159,47
39,Mujer,161,58
39,Mujer,167,82
39,Mujer,170,72
39,Hombre,160,59
39,Hombre,174,83
39,Mujer,160,63
39,Mujer,171,69
39,Hombre,160,55
39,Hombre,165,65
39,Hombre,170,68
39,Hombre,176,64
39,Hombre,178,75
39,Mujer,155,68
39,Mujer,158,75
39,Mujer,167,76
39,Mujer,159,72
39,Mujer,160,53
39,Mujer,172,89
39,Hombre,167,66
39,Hombre,170,82
39,Hombre,182,81
40,Mujer,162,66
40,Mujer,162,96
40,Hombre,168,72
40,Hombre,170,89
40,Hombre,176,115
40,Mujer,154,60
40,Mujer,164,80
40,Mujer,171,74
40,Mujer,160,55
40,Mujer,161,62
40,Mujer,172,72
40,Mujer,175,90
40,Hombre,156,56
40,Mujer,153,82
40,Mujer,156,67
40,Mujer,160,53
40,Mujer,165,62
40,Mujer,167,97
